sourceurl,company_name,company_homepage_url
"https://theorg.com/companies/y-1","Yale Cleaners","https://yalecleaners.com/"
"https://theorg.com/companies/y-1","Yalent",""
"https://theorg.com/companies/y-1","Yale Undergraduate Prison Project","https://www.yaleundergraduateprisonproject.org/"
"https://theorg.com/companies/y-1","Yale Law Journal","https://www.yalelawjournal.org/"
"https://theorg.com/companies/y-1","Y.A.L.E. School NJ","https://www.yaleschoolnj.com"
"https://theorg.com/companies/y-1","Yale IEEE","https://y-ieee.org/"
"https://theorg.com/companies/y-1","Yale Graduate Student Consulting Club","https://www.ygccgradconsulting.org"
"https://theorg.com/companies/y-1","Yale New Haven Health System","https://www.ynhhs.org/"
"https://theorg.com/companies/y-1","Yale Enforcement Services","http://yaleenforcement.com"
"https://theorg.com/companies/y-1","Yali Bio","http://yalibio.com"
"https://theorg.com/companies/y-1","Yale Realty & Capital Advisors","https://www.yaleadvisors.com"
"https://theorg.com/companies/y-1","Yale Student Investment Group","https://yalesig.org"
"https://theorg.com/companies/y-1","Yale Scientific Magazine","https://yalescientific.org"
"https://theorg.com/companies/y-1","Yale University Dramatic Association, Inc.","https://yaledramat.org"
"https://theorg.com/companies/y-1","Yalıkavak Marina","https://www.yalikavakmarina.com.tr"
"https://theorg.com/companies/y-1","Yale Mortgage","https://www.yalemortgage.com"
"https://theorg.com/companies/y-1","Yale Undergraduate Diversified Investments","https://www.yudifinance.com"
"https://theorg.com/companies/y-1","Yale Undergraduate Consulting Group","https://www.yaleconsulting.org/"
"https://theorg.com/companies/y-1","Yale Daily News","https://yaledailynews.com/"
"https://theorg.com/companies/y-1","Yale Home","https://www.yalehome.com/"
"https://theorg.com/companies/y-1","Yale Cordage","https://www.yalecordage.com/"
"https://theorg.com/companies/y-1","Yale International Relations Association","https://yira.org"
"https://theorg.com/companies/y-1","Yale Model United Nations","https://ymun.org/home"
"https://theorg.com/companies/y-1","Yaletown Partners","https://yaletown.com/"
"https://theorg.com/companies/y-1","Yale Medicine","https://www.yalemedicine.org/"
"https://theorg.com/companies/y-1","Yale Climate Connections","http://www.yaleclimateconnections.org/"
"https://theorg.com/companies/y-1","Yale-NUS College","http://yale-nus.edu.sg"
"https://theorg.com/companies/y-1","Yale PGC LLP","https://www.yalepgc.ca/"
"https://theorg.com/companies/y-1","YallaBit","https://www.yallabit.com"
"https://theorg.com/companies/y-1","Yalla Dealz, Inc.,","https://www.YallaDealz.com"
"https://theorg.com/companies/y-1","Yalıhan Hotels & Resorts","http://www.yalihan.com.tr/"
"https://theorg.com/companies/y-1","Yale Undergraduate Legal Aid Association","https://yulaa.net"
"https://theorg.com/companies/y-1","YallaCourier","https://yallacourier.com"
"https://theorg.com/companies/y-1","Yaliam Press Limited","https://yaliampress.com/"
"https://theorg.com/companies/y-1","Yalla","https://yalla.online/"
"https://theorg.com/companies/y-1","Yale Industrial Products, Inc.","https://www.duffnorton.com/"
"https://theorg.com/companies/y-1","Yale Martin Fishman","http://yale-fishman-associates.tumblr.com/"
"https://theorg.com/companies/y-1","yallacompare","https://yallacompare.com/"
"https://theorg.com/companies/y-1","Yalı Spor","https://www.yalispor.com.tr/"
"https://theorg.com/companies/y-1","Yalla Consulting","https://www.yalla-consulting.com"
"https://theorg.com/companies/y-1","Yalla Cooperative","https://www.yallacooperative.com"
"https://theorg.com/companies/y-1","Yale Club of London","https://www.yale.org.uk/"
"https://theorg.com/companies/y-1","Yalelo Uganda","https://www.yalelo.ug"
"https://theorg.com/companies/y-1","Yale University","https://yale.edu"
"https://theorg.com/companies/y-1","YALI Regional Leadership Center East Africa","https://www.yalieastafrica.org/"
"https://theorg.com/companies/y-1","Yale Policy Institute","https://yalepolicyinstitute.com/"
"https://theorg.com/companies/y-1","Yalelo","https://www.yalelo.com/"
"https://theorg.com/companies/y-1","Yale Mechanical","https://yalemech.com"
"https://theorg.com/companies/y-1","Yale Repertory Theatre","https://www.yalerep.org"
"https://theorg.com/companies/y-1","Yale New Haven Health","https://ynhhs.org"
"https://theorg.com/companies/y-1","Yamaha Mataram Sakti","http://www.yamahamatsakti.com/"
"https://theorg.com/companies/y-1","YAMAHA JET BOAT MANUFACTURING U.S.A., INC","https://yamahaboats.com"
"https://theorg.com/companies/y-1","Yamaha Motor Australia","https://www.yamaha-motor.com.au/"
"https://theorg.com/companies/y-1","Yama","https://www.yamaribbon.com/"
"https://theorg.com/companies/y-1","Yamada Corp","https://www.yamadacorp.co.jp/"
"https://theorg.com/companies/y-1","Yamabiko Corp","https://www.yamabiko-corp.co.jp/"
"https://theorg.com/companies/y-1","Yamada Bee Farm Corporation","https://www.3838.com"
"https://theorg.com/companies/y-1","Y'all Tech","https://yalltech.com"
"https://theorg.com/companies/y-1","Yamagata Europe","https://www.yamagata-europe.com"
"https://theorg.com/companies/y-1","Yamaha Motor Corporation, USA","https://yamaha-motor.com/"
"https://theorg.com/companies/y-1","Yamaha Motor Racing","https://www.yamahamotogp.com/"
"https://theorg.com/companies/y-1","Yamada Industry Co., Ltd.","https://www.yamadakg.co.jp/"
"https://theorg.com/companies/y-1","Yamaha Agriculture","https://www.yamaha-agriculture.com"
"https://theorg.com/companies/y-1","Yamaha Motor New Zealand Ltd","http://www.yamaha-motor.co.nz/"
"https://theorg.com/companies/y-1","Yalu","https://www.yalu.in/"
"https://theorg.com/companies/y-1","Yalla Group Limited","https://www.yallatech.ae/"
"https://theorg.com/companies/y-1","Yamabiko Europe","https://www.yamabiko.eu"
"https://theorg.com/companies/y-1","Yamaha Guitar Group","https://yamahaguitargroup.com/"
"https://theorg.com/companies/y-1","Yamaichi Electronics Co Ltd","http://www.yamaichi.co.jp/"
"https://theorg.com/companies/y-1","Yalla Plus","https://yallaplus.com"
"https://theorg.com/companies/y-1","YAMA Group","https://www.yamagroup.com"
"https://theorg.com/companies/y-1","Yamabe & Horn Engineering, Inc.","https://www.yandhengr.com"
"https://theorg.com/companies/y-1","Yallvend","http://www.yallvend.com/"
"https://theorg.com/companies/y-1","YAMADA Consulting Group Co., Ltd.","https://www.yamada-cg.co.jp/"
"https://theorg.com/companies/y-1","Yamaha Golf-Car Company","http://yamahagolfcar.com"
"https://theorg.com/companies/y-1","Yamaha Motor Ventures","http://yamahamotor.vc"
"https://theorg.com/companies/y-1","YAMAHA MOTOR CANADA LTD.","https://www.yamaha-motor.ca"
"https://theorg.com/companies/y-1","Yalutec","https://yalutec.com/"
"https://theorg.com/companies/y-1","Yamaha Motor Solutions India","https://www.ymsl.in"
"https://theorg.com/companies/y-1","Yamaha Motor Pakistan (Pvt) Ltd.","https://www.yamaha-motor.com.pk/"
"https://theorg.com/companies/y-1","YAMAHA MOTOR MANUFACTURING CORPORATION OF AMERICA","http://yamaha-motor-georgia.com"
"https://theorg.com/companies/y-1","Yamaichi Electronics Deutschland GmbH","https://www.yamaichi.de"
"https://theorg.com/companies/y-1","YAM","http://yammontreal.org"
"https://theorg.com/companies/y-1","Yamaichi Electronics","http://www.yeu.com/"
"https://theorg.com/companies/y-1","Yamaha","http://yamaha.com"
"https://theorg.com/companies/y-1","Yamagata Bank Ltd","http://www.yamagatabank.co.jp/"
"https://theorg.com/companies/y-1","Yaltech","http://www.yaltechconsulting.com/"
"https://theorg.com/companies/y-1","YallaGo!","http://yallago.net/"
"https://theorg.com/companies/y-1","Yamaha Motor Europe N.V.","https://www.yamaha-motor.eu/en/corporate/about-us/"
"https://theorg.com/companies/y-1","YAMAGATA Corporation","https://yamagata-corp.jp/"
"https://theorg.com/companies/y-1","YallaMotor","https://www.yallamotor.com"
"https://theorg.com/companies/y-1","Yamaguti",""
"https://theorg.com/companies/y-1","YallaMarket","https://yallamarket.ae/"
"https://theorg.com/companies/y-1","Yalo","https://www.yalochat.com/"
"https://theorg.com/companies/y-1","Yalla Pickup","http://www.yalla-pickup.com"
"https://theorg.com/companies/y-1","Yalla Fel Sekka","https://yallafelsekka.com/#/home"
"https://theorg.com/companies/y-1","YallaPlay","https://yallaplay.com/"
"https://theorg.com/companies/y-1","Yamada Denki Co Ltd","https://www.yamada-denki.jp/"
"https://theorg.com/companies/y-1","Yalta","https://www.yalta.se/"
"https://theorg.com/companies/y-1","Yalo","https://www.yalo.com"
"https://theorg.com/companies/y-1","Yamano Holdings Corp","http://www.yamano-hd.com/"
"https://theorg.com/companies/y-1","Yamama Factories for Red Bricks and Clay Products.","http://yamamabricks.com"
"https://theorg.com/companies/y-1","Yamazawa Co Ltd","https://yamazawa.co.jp/"
"https://theorg.com/companies/y-1","Yamanashi Chuo Bank Ltd","http://yamanashibank.co.jp"
"https://theorg.com/companies/y-1","Yamato Kogyo Co Ltd","http://www.yamatokogyo.co.jp"
"https://theorg.com/companies/y-1","Yamau Co Ltd","http://www.yamau.co.jp"
"https://theorg.com/companies/y-1","Yamazaki","https://theyamazakihome.com/"
"https://theorg.com/companies/y-1","Yamato Transport U.S.A., Inc.","https://www.yamatoamerica.com/"
"https://theorg.com/companies/y-1","Yamazaki Baking Co Ltd","http://www.yamazakipan.co.jp"
"https://theorg.com/companies/y-1","Yamazen Corp","https://www.yamazen.co.jp/"
"https://theorg.com/companies/y-1","YaMarkets","https://yamarkets.com/index.php"
"https://theorg.com/companies/y-1","Yambla","https://yambla.com/"
"https://theorg.com/companies/y-1","Yamami Co","http://yamami.co.jp"
"https://theorg.com/companies/y-1","Yamato Corp","https://www.yamato-se.co.jp/"
"https://theorg.com/companies/y-1","Yamamoto","https://www.yusa.com/"
"https://theorg.com/companies/y-1","Yamato Industry Co Ltd","http://yamato-in.co.jp"
"https://theorg.com/companies/y-1","Yamify","https://www.yamify.co"
"https://theorg.com/companies/y-1","Yametaş Yassı Metal Mamulleri San. ve Tic. A.Ş.",""
"https://theorg.com/companies/y-1","Yamayama Travel","https://www.yamayamatravel.com/"
"https://theorg.com/companies/y-1","YAMAMOTO FB ENGINEERING","http://yamamotofineblanking.com"
"https://theorg.com/companies/y-1","Yamashita Health Care Holdings Inc","http://yhchd.co.jp"
"https://theorg.com/companies/y-1","Yamori","https://www.yamori.co.jp/"
"https://theorg.com/companies/y-1","Yamato Holdings Co Ltd","https://www.yamato-hd.co.jp/"
"https://theorg.com/companies/y-1","Yamco","https://www.yamco.net"
"https://theorg.com/companies/y-1","Yamaura Corp","https://www.yamaura.co.jp/"
"https://theorg.com/companies/y-1","Yamaya Corp","https://yamaya.jp/"
"https://theorg.com/companies/y-1","Yamli","https://www.yamli.com"
"https://theorg.com/companies/y-1","Yamaki Co Ltd","https://www.e-yamaki.co.jp/"
"https://theorg.com/companies/y-1","Yamba Malawi","https://www.yambamalawi.org"
